Time,D1_PosX,D1_PosY,D1_PosZ,D1_VelX,D1_VelY,D1_VelZ,D1_Qw,D1_Qx,D1_Qy,D1_Qz,D1_RateP,D1_RateQ,D1_RateR,D2_PosX,D2_PosY,D2_PosZ,D2_VelX,D2_VelY,D2_VelZ,D2_Qw,D2_Qx,D2_Qy,D2_Qz,D2_RateP,D2_RateQ,D2_RateR
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.999998162501688948e-05,0.000000000000000000e+00,0.000000000000000000e+00,-2.999996325005064787e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,0.000000000000000000e+00,2.799976800120187607e-11,-1.199997079761257098e-04,0.000000000000000000e+00,-1.471431947465076314e-07,-5.999970797652758037e-02,9.999999999985671462e-01,1.692864759840891202e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.385727569354472256e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,0.000000000000000000e+00,5.736527397475488031e-10,-2.699985254609470783e-04,0.000000000000000000e+00,-1.887049311373177877e-06,-8.999901761581242943e-02,9.999999998967686876e-01,1.436882162567939704e-05,0.000000000000000000e+00,0.000000000000000000e+00,2.196610601973450483e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000125e-03,0.000000000000000000e+00,4.300648558990231083e-09,-4.799953473484235575e-04,0.000000000000000000e+00,-7.704753140722526056e-06,-1.199976754116317129e-01,9.999999988971077780e-01,4.696579504071092743e-05,0.000000000000000000e+00,0.000000000000000000e+00,4.322760501106633069e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-03,0.000000000000000000e+00,1.768916616124229406e-08,-7.499886534529233255e-04,0.000000000000000000e+00,-1.933603326502109440e-05,-1.499954641493891905e-01,9.999999949873761285e-01,1.001261740225975033e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.309279390598900028e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,0.000000000000000000e+00,5.125737280904716558e-08,-1.079976489358841279e-03,0.000000000000000000e+00,-3.782570795952882128e-05,-1.799921661112716953e-01,9.999999852258454336e-01,1.718962290835611439e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.044689375739555448e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000025e-02,0.000000000000000000e+00,1.192061644813220798e-07,-1.469956465274757868e-03,0.000000000000000000e+00,-6.372620400173110912e-05,-2.099875632166550155e-01,9.999999662745788775e-01,2.597130095699914042e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.518623091983395568e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000029e-02,0.000000000000000000e+00,2.389210778067208102e-07,-1.919925754720835801e-03,0.000000000000000000e+00,-9.725585316001266519e-05,-2.399814372125270434e-01,9.999999348143669975e-01,3.610696181995230345e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.075265705804439864e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,0.000000000000000000e+00,4.304775775384365828e-07,-2.429881093216896496e-03,0.000000000000000000e+00,-1.384055770230777842e-04,-2.699735698471141809e-01,9.999998877975779799e-01,4.737138798539225308e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.177615801607867635e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000211e-02,0.000000000000000000e+00,7.161942128841251442e-07,-2.999818777076228467e-03,0.000000000000000000e+00,-1.870098792266546147e-04,-2.999637430066883215e-01,9.999998225793086393e-01,5.956856222525646737e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.261815901936976514e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00,1.120242845924867839e-06,-3.629734662361261237e-03,0.000000000000000000e+00,-2.427957272360489369e-04,-3.299517388140371654e-01,9.999997369691729920e-01,7.253010372230368546e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.330489935852310901e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.199999999999999872e-02,0.000000000000000000e+00,1.668313486039034436e-06,-4.319624164024813036e-03,0.000000000000000000e+00,-3.054176076879023248e-04,-3.599373396931139779e-01,9.999996292341648552e-01,8.611222578205393044e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.385932770354482702e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000050e-02,0.000000000000000000e+00,2.387327913120254039e-06,-5.069482255240439182e-03,0.000000000000000000e+00,-3.744834384493786364e-04,-3.899203284059808983e-01,9.999994980728204030e-01,1.001925205556417672e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.430125291131375820e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000228e-02,0.000000000000000000e+00,3.305195780460375610e-06,-5.879303466913441724e-03,0.000000000000000000e+00,-4.495740331775899636e-04,-4.199004880681983520e-01,9.999993425738944453e-01,1.146669869335951433e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.464767951238992727e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000058e-02,0.000000000000000000e+00,4.450607318232798402e-06,-6.749081887357515248e-03,0.000000000000000000e+00,-5.302577796870139694e-04,-4.498776021482500109e-01,9.999991621680976994e-01,1.294474068134212133e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.491316894134310511e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
